id,content,Task Id,label
6839,距跨入2021年只剩2個月，資本市場有個新的主題開始浮現：如何從美國聯準會（Fed）空前寬鬆貨幣政策與與強力干預債市的「副作用」中，求取獲利途徑，或至少與之共存。美國財經媒體《彭博》報導，Fed為抵擋武漢肺炎（COVID-19）經濟衝擊而採取的行動，成就了今年來許多回報最佳的投資策略。但對近零水準利率可能將維持長達10年的展望，正開始令人們意識到隨之產生的金融穩定性風險。再次預測資產泡沫、股市融漲、美元貶值、破壞穩定的通膨加速等現象將出現的基金經理人們，又開始議論起2008年全球金融危機後寬鬆貨幣政策所造成的非意圖負面後果。且已有證據顯示一些風險正逐漸形成，投資人因對美國長天期公債失去信心，已開始質疑60/40股債組合的傳統資產配置策略是否合理。安本標準投資管理公司（AberdeenStandardInvestments）基金經理人艾希（JamesAthey）對此表示：「如今Fed既是縱火犯又是消防員。在正常情況下，資產行情會反映出投資人社群對於Fed政策的疑慮，但現在Fed操縱著這些資產的價格。」艾希認為，Fed正為未來「製造巨大的金融動盪隱患。」安本所管理資產規模超過5000億美元。有時通往地獄之路是由善意鋪成。Fed行動的本意是良好的，因為今年美國經濟和市場顯然需要重大政策支援，來克服武肺疫情造帶來的衝擊。從3月以來，Fed已把基準利率大降至近零水準、推出9種緊急貸款計劃，並買進了約2兆美元美國公債，這些行動在很大程度上成功穩定了市場並為受創的產業提供支持。然而Fed主席鮑威爾（JeromePowell）也表示，Fed將改採新的平均通膨目標框架，可能會推遲最終必須上調利率的時間，並暗示Fed將會容許經濟過熱。伴隨疫情捲土重來，加上華府新的經濟刺激方案難產，最近股票等風險資產的泡沫有所縮小，公債殖利率也跟著下跌。但許多投資人預期後續財政支出將會增加，特別是假如拜登（JoeBiden）當選總統、民主黨又掌控了國會兩院的情況下。加州投資諮詢服務公司LongTailAlpha創辦人班薩里（VineerBhansali）預期，Fed將採取更多行動並使風險資產獲得支持，而股市「融漲」（meltup）將會成為後果之一。這位在3月美股暴跌等市場波動中，靠期權部位締造逾900%回報的量化策略專家，目前正透過長期期權押注美元走弱。追蹤美元兌10種主要貨幣的彭博美元指數過去2季來已下跌5.6%，且自3月底觸及年內高點後已回落了10%左右。班薩里說：「Fed的思想已發生根本性轉變，他們實際上是在傳達對金融穩定性的考量順序可以向後推。隨著美元走弱，外匯市場將出現重大走勢。這是能讓我們欠所有人的債務貶值的方法之一。」他認為，為降低巨額赤字的融資成本，Fed和美國財政部間已有了一個心照不宣的「協議。」管理11億美元資產的避險基金PensoAdvisors創辦人柏格曼（AriBergmann）也預期股市將出現「融漲」，且債券已無法用來對沖損失。該基金正利用貨幣、商品和股票間的「凸性」（convexity）----成本不高但有很大上漲空間的交易---來進行對沖。自1980年代中期就開始在金融市場打滾的柏格曼說：「這就像在玩大風吹。天下沒有白吃的午餐，這個泡沫遲早會破滅。看看Fed和其他央行的資產負債表規模就知道了，總有人得為此埋單。再看看美國的赤字規模、全球的赤字規模，也能明白。」「Fed的成功也將埋下自身失敗的種子。最終，這個故事將以悲劇收場----唯一的取勝之道，是在過程中賺取到足夠的錢並制定明智的避險策略。」（劉利貞／綜合外電報導）,36,positive
6840,4年前，美國人選出了首位億萬富豪總統川普（DonaldTrump）。雖然財富集中與貧富差距擴大的現象，早在川普上次意外當選前就已存在，如科技變遷等重塑財富分配的因素在此次選後也將繼續影響美國經濟和政治，但「富者愈富」的趨勢在川普任內的確加劇了：全美最有錢的約200人（只佔美國人口的0.00006%）4年間財富合計增長超過1兆美元（約28.93兆元台幣）！據彭博億萬富豪指數（BloombergBillionairesIndex）統計，從2016年總統選舉投票日當晚至上周為止，該指數所追蹤的美國富豪財富淨值合計已從不到1.8兆美元（約52.07兆元台幣），增長到超過2.8兆美元（約80.99兆元台幣）。在川普4年執政期間，全美前50大富豪的財富淨值合計增加8350億美元（約24.15兆元台幣）。這意味彭博億萬富豪指數上所有美國富豪4年來增長的財富，有80%是歸於僅僅50人所有。彭博億萬富豪指數追蹤全球前500大富豪的每日財富淨值變化，隨財富淨值變動，每日登上該指數的成員可能不同，但該指數上的美國富豪人數大致保持穩定，4年前的選舉夜為168人，到今年10月為166人。在川普任內全美富豪增長的財富，大部分都流向了富豪群體中最富有的那些人，也就是財富金字塔頂尖中的頂尖，其中包括了一些川普最大的批評者。例如，亞馬遜（amazon.com）創辦人貝佐斯（JeffBezos）4年來財富淨值增長約1210億美元（約3.5兆元台幣），即使離婚使他付出高昂代價。擁有《華盛頓郵報》的貝佐斯，恐怕是川普最討厭的人之一。在貝佐斯宣布離婚後，川普還趁機在推特（twitter）上取了個外號「JeffBozo」嘲笑貝佐斯（Bozo有用來形容人愚笨無能的意思）。相較下，如能源、房地產、工業等川普所支持的產業內的富豪，在彭博億萬富豪指數上的財富淨值合計反而較4年前減少，雖然主要是因武漢肺炎（COVID-19）疫情的影響。在川普任內美國股票市場穩步上漲，成了美國富豪們財富大幅成長的關鍵原因。自2016年選舉夜到上周四（10/29）為止，美股S&P500指數包括股利在內的報酬率達67%，聚焦科技股的納斯達克綜合指數報酬率更高達125%。直到武肺疫情爆發前，美國勞工的家庭所得在川普執政期間也出現了幅度不大卻重要的進步。但這場疫情已即為戲劇化的方式擴大了不平等，在造成約4000萬人失業的同時，美股卻節節高漲，一些富豪在因疫情而改變的工作與生活形態中獲利，特別是本就位居財富金字塔頂端的科技業富豪。在疫情爆發前，美國人享有著超低失業率且薪資水準上升。2019年美國家庭所得中位數（經通膨調整）成長6.8%至6萬8703美元（約198.72萬元台幣），從川普執政頭2年的1.8%及0.5%大幅加速。在武肺疫情猝不及防降臨後，美國財政部和聯準會（Fed）為減輕經濟衝擊而祭出的刺激措施，推升了資產市場行情，因而受惠的主要是持有大量股票資產的金字塔頂端1%富豪。（劉利貞／綜合外電報導）,36,positive
6841,台北31日電陸媒報導，中國31個省市區前3季經濟數據於30日全部出爐，其中25個省市區GDP正成長，一個持平，5個省市區仍為負成長。此前兩季遭到武漢肺炎疫情重創的湖北省，以負10.4％墊底。綜合中國新聞網、央視新聞APP報導，中國31個省市區GDP成長率，西藏自治區以6.3％居冠。第一季疫情最嚴重之際，未受衝擊的西藏是當時中國唯一經濟正成長的地區。報導指出，今年前3季，中國有25個省份正成長，其中14個成長高於2％，分別是西藏（6.3％）、貴州（3.2％）、甘肅（2.8％）、雲南（2.7％）、湖南（2.6％）、重慶（2.6％）、寧夏（2.6％）、江蘇（2.5％）、安徽（2.5％）、江西（2.5％）、福建（2.4％）、四川（2.4％）、浙江（2.3％）、新疆（2.2％）。但截至目前，中國大陸仍有5個省份的GDP尚未由負轉正，分別是湖北（-10.4％）、內蒙古（-1.9％）、黑龍江（-1.9％）、遼寧（-1.1％）、上海（-0.3％）；天津市則持平。從GDP總量來看，雖然疫情讓中國各地經濟承壓，但傳統經濟大省繼續領跑的格局沒有變。據報導，今年前3季，廣東以人民幣7.84兆元（約新台幣33.5兆元）居首，江蘇緊隨其後為7.38兆元，山東則以5.22兆元居第3。據統計，有13個省份的地區生產總值在前3季超過2兆元。報導指出，湖北上半年因受疫情衝擊，GDP下滑19.3％，經濟總量排名從2019年末的第7名掉到第10，被福建、湖南、安徽超越。不過湖北已從第3季急起直追，雖然前3季仍以負10.4％墊底，但經濟總量已超越安徽，上升至第9名。,36,positive
6842,北京31日電中國自行研製的大型客機C919，交機時程一再延後，被外界認為係關鍵技術仍遭美國掌握所致。但在今天登場的南昌飛行大會上，C919進行了現場飛行展示，是其首次全球動態展示。今天與C919一同在南昌進行飛行展示的，還有另一款中國自行研製的支線客機ARJ21。而C919的亮相，不無官方刻意破除「關鍵技術遭美國掌握」以致交機延誤的考量。綜合中國媒體報導，研製上述2款客機的中國商用飛機有限責任公司（中國商飛）強調，這是C919首次在（所屬）行業活動亮相，並進行飛行表演。而擔任表演任務的，則是先前已在南昌試飛的編號105號機。由於C919先前交機進度延誤，且是否真如官方宣傳般地由中國100％自行研製受到中國網友質疑；加上先前境外媒體報導，C919交機延誤恐因美國掌握關鍵技術，使C919今天的亮相受到中國媒體及網友關注。不少中國媒體都轉發了C919在南昌飛行表演的畫面。C919屬窄體客機，與空中巴士A320及波音737為同級機，因此也將這二者設定為競爭對手。原定2015年底生產第一架飛機，但直到2017年5月才首度試飛，且目前僅生產了6架試飛機。中國商飛一份7月間發布的內部文件顯示，公司的目標是在2019年之後的「成熟期」，每年生產150架C919，但未提到具體日程。至於交機，則預定2021年向中國東方航空交付首架客機。2022才能交機航空顧問公司EndauAnalytics創辦人尤索夫先前表示，C919雖完工，但因中國非常依賴歐美第三方供應商等西方供應鏈，加上2019冠狀病毒疾病（COVID-19，武漢肺炎）疫情衝擊，估計要2022年才能開始交機。據中國商飛資料，C919具有自主智慧財產權，設有158至168座，航程4075至5555公里，2015年11月完成組裝出廠，2017年5月首飛。目前累計取得28個客戶共815架的訂單，而6架試飛機已全部投入取證試飛工作。,36,negative
6843,台北31日電中國山東近期在一批巴西進口冷凍豬肉外包裝上驗出COVID-19核酸陽性。這批肉品最早自9月下旬便已流入市面。包括安丘市、威海市文登區今天均發布通報，要求曾到流通市面的民眾主動報備。綜合澎湃新聞、齊魯網等陸媒報導，山東威海文登區委統籌疫情防控和經濟運行工作領導小組今天發布通報，流入當地的這批冷凍豬肉，是從巴西經山東省煙台市進口的去骨頸部肉（俗稱梅花肉）。通報要求，9月22日至10月22日到「集傑尚品自助烤肉」用餐，或10月8日至10月14日到「河南水產品市場」二期東側「放心肉食」，購買過上述肉類的民眾及家人，主動向所屬社區（村居）和機構登記報備，同時做好自我健康觀察。通報還規定，個人申報和單位摸排工作務必於今晚10時前完成，並將對因瞞報、謊報造成嚴重後果的單位和個人，依法依規追究責任。山東省安丘市政府官方微博上午則通報，共有15件包裝檢出病毒陽性反應的肉品流入當地鑫牛市場「盛鑫肉品批零中心」，目前已相關接觸人員全部實行隔離觀察，並對相關場所進行消毒殺菌。通報也持續呼籲10月4日到6日間有到這處零售中心的民眾主動通報，並參與核酸檢測。目前無人受感染通報表示，當地已對於已經掌握的相關豬肉經營戶、外包裝廢品收購人員、物流運輸人員及其家人和市場全體人員、外部環境樣本全部進行了核酸與血清樣本雙檢測，結果均為陰性。山東省青島市10月中旬也傳出2019冠狀病毒疾病（COVID-19，武漢肺炎）本土疫情，當局雖在5天內完成全市檢測，但當地一名女護士，29日被發現在隔離醫院內遭到感染，目前已排查到71名密切接觸者隔離觀察。針對青島疫情源頭，中國官方曾在17日晚間公布，從工人搬運的進口冷凍鱈魚外包裝上驗出活病毒，是國際上首次在冷凍食品供應鏈外包裝上分離到2019冠狀病毒。,36,positive
6844,美國總統大選將在當地時間11月3日舉行，擔任過美國前總統小布希特助的《CNN》撰稿人詹寧斯表示，「川普值得第二任」。（法新社資料照）〔即時新聞／綜合報導〕美國總統大選將在當地時間11月3日舉行，目前已有超過8500萬選民提早投票，現任總統川普（DonaldTrump）與民主黨參選人拜登（JoeBiden）持續搶攻「搖擺州」；對此，擔任過美國前總統小布希（GeorgeBush）特助的《CNN》撰稿人詹寧斯（ScottJennings）表示，「川普值得第二任」。詹寧斯在《CNN》發表評論指出，川普的政績顯而易見，不僅降低美國稅率，還支持美國軍人，讓敵人知道美國有能力收拾他們，「看看伊斯蘭國（ISIS）前領袖阿布．貝克爾．巴格達迪（AbuBakral-Baghdadi）或前伊朗聖城軍指揮官卡西姆．蘇雷曼尼（QasemSoleimani）的下場就知道」。詹寧斯表示，川普不是一個完人，個人歷史與溝通方式可能較為惡劣，選舉是選擇，反對墮胎以捍衛生命權還是支持墮胎捍衛選擇權？加稅還是減稅？言論自由還是干預審查？沒有政治人物讓他完全滿足，但川普比拜登更接近他理想。詹寧斯寫道，川普仍有改善空間，但自己身為保守派，拜登絕不代表他支持的政策方向，「拜登幾乎在我關心的每個議題上都未通過測試，我希望美國能夠徹底擺脫他的關注，尤其是在墮胎方面」。詹寧斯說，川普處理武漢肺炎病毒（新型冠狀病毒病，COVID-19），包括言詞上，縱所缺失，但這次選舉投票大將影響未來4年，美國人民很快將能夠接種疫苗，這大部分得歸功於川普的在研發疫苗的「曲速行動（OperationWarpSpeed）」上的領導，而且無論誰勝選，美國都會戰勝這種病毒。因此，他認為選舉已經很清楚了。,36,negative
6845,美國財經媒體《彭博》報導，暗網（darkweb）----網路犯罪者購買毒品、勒索贖金、從事非法交易的法外之地----如今也成為駭客買賣可登入Robinhood帳戶的使用者電郵帳密的地方。今年來伴隨武漢肺炎（COVID-19）大流行，主打零交易手續費的線上券商Robinhood吸引了數以百萬計用戶，其中許多屬於年輕世代，而且是首次踏足股票交易。而《彭博》在暗網市場內發現，本周有人在暗網上兜售超過1萬筆據稱與Robinhood帳戶綁定的電郵登入帳密。透過分析暗網上這類個資出售廣告的廣泛程度，電子犯罪情報公司Q6Cyber執行長EliDominitz指出，在暗網上與Robinhood相關的電郵數量遠超過其他券商，比例約達5比1。對於駭客對Robinhood帳戶的興趣為何遠高於其他券商，EliDominitz說：「如果他們覺得Robinhood帶來的獲利空間比從美國銀行（BankofAmerica）偷錢更大，他們當然會這麼做。」數月來Robinhood一直有用戶抱怨帳戶被駭客，但難以獲得Robinhood回應。本月稍早有消息人士透露，1項內部調查發現，有將近2000個帳戶因電郵被駭而遭到入侵。然而Robinhood強調，該公司並非唯一遭到這類網路攻擊的券商。Robinhood透過電郵向《彭博》聲明：「企圖利用從暗網獲得的資訊，以金融服務公司的客戶作為目標發起的網路犯罪並不少見」，並補充那些在資訊經常是不正確的，而且光憑盜取來的電郵個資不足以入侵券商帳戶。《彭博》也在1個名為SlilPP的暗網市場內，發現了近1000筆與電子交易平台TDAmeritrade相關的資料；SlilPP是駭客拍賣盜來的銀行與金融服務帳密的知名場所。據EliDominitz表示，那些在暗網市場上拍賣的帳密資料通常是正確的，但是否所有帳密都與真實的券商帳戶相關就不得而知。據稱與Robinhood帳戶相關的最新一批被拍賣個資帳密在上周三出現，每筆資料最低只要3.5美元。（劉利貞／綜合外電報導）,36,negative
6846,台北31日電台中、基隆有2人接種流感疫苗後出現疑似格林巴利症候群症狀，個案與疫苗關係還未釐清，就有醫師提出警告，國際已知有19例武漢肺炎個案與格林巴利症候群有關，應儘速採檢。流感疫苗安全性引發全民關注，不良反應事件通報暴增，繼台中一名男子接種流感疫苗後出現神經病變症狀，疑似為「格林巴利症候群」（GBS），基隆今天也有名女子接種疫苗後出現四肢突然發麻且有味覺喪失症狀，與流感疫苗關聯性仍有待釐清。台灣感染症醫學會理事長黃立民今天接受媒體訪問時表示，歐洲早已發現武漢肺炎（2019冠狀病毒疾病，COVID-19）與格林巴利症候群有關，已知至少有19例武漢肺炎確診個案出現格林巴利症候群症狀，並在脊髓液中找到武漢肺炎病毒，顯示兩者同時出現「並不罕見」。黃立民說，格林巴利症候群危險因子很多元，各種細菌、病毒都有可能，其次才是疫苗，但根據目前研究，接種疫苗導致的格林巴利症候群，大多發生在接種後2到6週，反觀台灣出現的2例疫苗不良反應個案，距離接種疫苗都不到2週，尤其基隆女子又出現味覺異常，在秋冬到來之際，當然要懷疑是武漢肺炎，「查一下不吃虧」。中央流行疫情指揮中心專家諮詢小組召集人張上淳表示，味覺喪失不是專屬於武漢肺炎的症狀，且很多病毒都會造成格林巴利症候群，若指揮中心認為有需要，專家小組就會啟動討論。指揮中心發言人莊人祥則表示，由於很多病毒感染都可能造成味覺喪失，如無相關危險因子，不會特別採檢武漢肺炎，但醫院若有懷疑，可以自行決定是否採檢。,36,negative
6847,台北31日電第18屆台灣同志遊行今天登場，主辦單位表示，雖然受疫情影響，但今年仍有13萬人共襄盛舉，也讓台灣同志遊行成為今年度北半球最大的同志遊行。台灣同志遊行今天在台北市政府前廣場登場，呼應遊行邁入第18屆，今年主題為「成人之美」，希望強調性多樣社群（LGBTIQA+）不只是需要「被看見」，而是應該被真正的理解與尊重，讓每個人都是最美的存在。彩虹平權大平台總召呂欣潔則說，同婚過關後，社會上還有許多需要努力的地方，除了性別平權還沒有真正達成外，包含跨國同婚、共同收養、人工生殖以及中央到地方的各個系統中，仍有很多不友善的地方需要改變。同志遊行今天上午先由近百家同志友善店家與非政府組織（NGO）團體共同參與的彩虹市集活動揭開序幕，不少攤販推出拍照打卡活動送紀念品方式，吸引民眾流連駐足，在遊行開始前，已經有3萬人集結在廣場。彩虹口罩成獨特風景今年同志遊行如同以往，少不了彩虹標誌，但因武漢肺炎（2019冠狀病毒疾病，COVID-19）疫情影響，不僅只有彩虹旗幟、彩虹衣服跟彩虹刺青，也有不少人戴著彩虹口罩上街頭，成為同志遊行中一幕獨特的風景。疫情雖使得許多海外人士來台參與遊行的難度大增，但仍有在台工作或是唸書的外國人士今天特別現身力挺，包含來自美國的April跟Nika特別從台中北上參加遊行、來自貝里斯的Joneli也大讚台灣同婚Amazing，盼自己國家也能跟進。而同志遊行也不只是讓同志上街頭發聲的場合，也有異性戀家庭帶小朋友來遊行，藉此機會教育，34歲、從事醫療業的謝太太，今天特別拉著推車帶3個小朋友從桃園北上參加遊行，為的就是讓小朋友知道多元性別的存在。同志遊行隊伍今天從北市府前廣場出發，並分為南北兩路線，共有23輛花車與3台彩虹能量車、超過150組企業及民間團體，以及20個國家的駐台辦事處共同報名參與，遊行隊伍約在下午2時出發、4時30分回到終點北市府廣場。今年終點舞台表演活動以人體概念呼應主題，表演者代表不同的身體部位集結呈現「成人之美」，包含歌手李英宏、安心亞都有出席演出，龍古．扎ft.Vahine舞團帶來肚皮舞，彩虹大使安溥也登場獻聲演出。,36,positive
6848,土耳其內政部長索魯今天推文自爆，包括他自己、妻子及女兒都確診武漢肺炎。（法新社）〔中央社〕土耳其內政部長索魯今天推文自爆，包括他自己、妻子及女兒都確診武漢肺炎。「每日晨報」（DailySabah）報導，索魯（SuleymanSoylu）指出，一家人26日身體不適，因而就武漢肺炎（新型冠狀病毒病，COVID-19）進行採檢，結果都呈現陽性反應。包括他自己、妻子哈穆迪耶（HamdiyeSoylu）和女兒隨即在家中接受治療，29日遵醫囑住院。索魯表示，一家人今天病情好轉。衛生部長克扎（FahrettinKoca）23日指出，土耳其中心地帶的安納托利亞地區（Anatolia）已進入第2波疫情高峰，全國各地都再度出現病例數升高的趨勢。他當時指出：「病例攀升的情勢險惡。」第一大城伊斯坦堡巿政府24日證實，巿長伊瑪莫魯（EkremImamoglu）也確診武漢肺炎。衛生部30日公布武漢肺炎疫情通報顯示，過去24小時新增2322名確診病患、78人死亡，累計確診人數為37萬3154例、1萬177例病故。克扎於9月30日坦承，自7月29日起僅通報出現武漢肺炎症狀的確診病患人數，這個數字沒有納入無症狀感染者。,36,negative
